LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_6,PAY_5,BILL_AMT6,BILL_AMT5,PAY_AMT6,PAY_AMT5,total_bill,avg_bill,bill_trend,pay_ratio_6,pay_ratio_5,avg_pay_ratio,min_pay_ratio,max_pay_ratio,payment_trend,delay_sum_partial,delay_count_partial,max_delay_partial
80000,2,2,2,24,0,0,39457,39643,878,1445,79100,39550.0,186,0.0222515079324851,0.0364493996569468,0.029350453794716,0.0222515079324851,0.0364493996569468,567,0,0,0
30000,1,2,2,28,0,0,0,22001,0,0,22001,11000.5,22001,0.0,0.0,0.0,0.0,0.0,0,0,0,0
180000,2,4,1,44,-1,-1,10340,6881,182,10340,17221,8610.5,-3459,0.0175998452760854,1.5024702121476314,0.7600350287118585,0.0175998452760854,1.5024702121476314,10158,0,0,-1
60000,1,1,2,25,0,0,39140,39619,2000,1900,78759,39379.5,479,0.0510973148361053,0.0479555779909136,0.0495264464135095,0.0479555779909136,0.0510973148361053,-100,0,0,0
130000,2,2,2,25,0,0,123904,120854,10700,5000,244758,122379.0,-3050,0.0863564827892336,0.0413718919366182,0.0638641873629259,0.0413718919366182,0.0863564827892336,-5700,0,0,0
20000,1,3,2,32,0,0,19880,20037,690,697,39917,19958.5,157,0.0347065036969971,0.0347839105699171,0.0347452071334571,0.0347065036969971,0.0347839105699171,7,0,0,0
100000,2,2,1,33,0,-1,2669,9689,4600,0,12358,6179.0,7020,1.7228464419475655,0.0,0.8614232209737828,0.0,1.7228464419475655,-4600,0,0,0
210000,2,2,1,31,0,0,115700,130619,4200,4396,246319,123159.5,14919,0.0363004641273627,0.0336548767416934,0.0349776704345281,0.0336548767416934,0.0363004641273627,196,0,0,0
50000,2,2,2,35,0,0,17581,17056,800,800,34637,17318.5,-525,0.0455010806506654,0.0469015653397432,0.0462013229952043,0.0455010806506654,0.0469015653397432,0,0,0,0
360000,2,3,1,43,-2,-2,4261,3195,3525,4269,7456,3728.0,-1066,0.8270764899108399,1.3357321652065082,1.081404327558674,0.8270764899108399,1.3357321652065082,744,0,0,-2
220000,2,2,2,38,-1,-1,4149,8522,10626,4164,12671,6335.5,4373,2.5604819277108435,0.4885603660682858,1.5245211468895643,0.4885603660682858,2.5604819277108435,-6462,0,0,-1
70000,2,2,1,37,0,0,67046,66431,2610,2590,133477,66738.5,-615,0.0389279162378629,0.0389872350674373,0.0389575756526501,0.0389279162378629,0.0389872350674373,-20,0,0,0
100000,1,1,2,27,0,0,0,7889,0,0,7889,3944.5,7889,0.0,0.0,0.0,0.0,0.0,0,0,0,0
80000,2,3,2,30,-2,-1,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,-1
120000,2,3,1,61,0,0,60651,59174,2200,2600,119825,59912.5,-1477,0.0362725054408758,0.0439374735952682,0.040104989518072,0.0362725054408758,0.0439374735952682,400,0,0,0
260000,1,1,1,45,0,0,45923,40726,6892,6696,86649,43324.5,-5197,0.1500740353627732,0.1644118152576914,0.1572429253102323,0.1500740353627732,0.1644118152576914,-196,0,0,0
150000,2,2,2,24,0,0,103233,100810,4000,4000,204043,102021.5,-2423,0.0387469244628707,0.0396782097191774,0.0392125670910241,0.0387469244628707,0.0396782097191774,0,0,0,0
270000,2,2,2,39,0,0,123227,120737,4567,4302,243964,121982.0,-2490,0.0370613821534066,0.0356308701485861,0.0363461261509964,0.0356308701485861,0.0370613821534066,-265,0,0,0
170000,1,3,1,31,0,0,112360,111525,4500,5000,223885,111942.5,-835,0.0400494833616646,0.0448325950899341,0.0424410392257994,0.0400494833616646,0.0448325950899341,500,0,0,0
140000,1,2,2,24,0,-1,23797,48866,2000,3500,72663,36331.5,25069,0.0840406756870325,0.0716229766509096,0.077831826168971,0.0716229766509096,0.0840406756870325,1500,0,0,0
110000,2,3,2,29,0,0,110444,108952,4404,4631,219396,109698.0,-1492,0.0398750509303273,0.0425045661890907,0.041189808559709,0.0398750509303273,0.0425045661890907,227,0,0,0
430000,1,2,1,48,0,0,26144,25568,869,987,51712,25856.0,-576,0.033237712755785,0.0386014314208612,0.0359195720883231,0.033237712755785,0.0386014314208612,118,0,0,0
360000,1,1,1,39,-2,-2,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,-2
150000,1,1,3,45,0,0,34878,34164,0,1200,69042,34521.0,-714,0.0,0.0351236645690033,0.0175618322845016,0.0,0.0351236645690033,1200,0,0,0
240000,2,1,2,46,-1,0,2267,1681,3074,2267,3948,1974.0,-586,1.355379188712522,1.3478002378121283,1.3515897132623251,1.3478002378121283,1.355379188712522,-807,0,0,0
200000,2,1,2,33,-2,-2,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,-2
50000,2,1,2,27,2,0,48390,50856,2000,0,99246,49623.0,2466,0.04132999938005,0.0,0.020664999690025,0.0,0.04132999938005,-2000,2,1,2
390000,2,1,1,38,0,0,135242,131529,5000,6000,266771,133385.5,-3713,0.0369704901547584,0.0456169695126587,0.0412937298337085,0.0369704901547584,0.0456169695126587,1000,0,0,0
240000,2,2,1,37,0,-1,566,1317,0,0,1883,941.5,751,0.0,0.0,0.0,0.0,0.0,0,0,0,0
220000,1,3,2,33,0,0,-273,6087,2000,0,5814,2907.0,6360,-7.352941176470588,0.0,-3.676470588235294,-7.352941176470588,0.0,-2000,0,0,0
230000,1,1,1,59,0,0,191671,198999,6945,6844,390670,195335.0,7328,0.0362337743645394,0.0343919597989949,0.0353128670817672,0.0343919597989949,0.0362337743645394,-101,0,0,0
320000,1,1,2,29,-2,-2,14333,66408,52677,14405,80741,40370.5,52075,3.674968606111344,0.2169133701757292,1.9459409881435363,0.2169133701757292,3.674968606111344,-38272,0,0,-2
100000,2,1,3,47,0,0,40503,40976,1502,1598,81479,40739.5,473,0.0370827572585423,0.0389974863948068,0.0380401218266746,0.0370827572585423,0.0389974863948068,96,0,0,0
480000,2,2,1,46,0,-1,1978,4415,0,0,6393,3196.5,2437,0.0,0.0,0.0,0.0,0.0,0,0,0,0
20000,1,2,2,24,0,0,1320,688,0,650,2008,1004.0,-632,0.0,0.9433962264150944,0.4716981132075472,0.0,0.9433962264150944,650,0,0,0
420000,2,2,1,32,0,0,84193,110930,82615,3100,195123,97561.5,26737,0.9812456944675392,0.0279452993302142,0.5045954968988767,0.0279452993302142,0.9812456944675392,-79515,0,0,0
160000,1,2,1,55,0,0,81089,79051,0,2994,160140,80070.0,-2038,0.0,0.0378738045843242,0.0189369022921621,0.0,0.0378738045843242,2994,0,0,0
380000,1,1,1,40,0,0,239221,236379,10000,10000,475600,237800.0,-2842,0.041802175385207,0.0423047635163719,0.0420534694507894,0.041802175385207,0.0423047635163719,0,0,0,0
50000,1,2,2,29,0,2,27709,27315,2000,1000,55024,27512.0,-394,0.0721761097076867,0.0366085810513984,0.0543923453795426,0.0366085810513984,0.0721761097076867,-1000,2,1,2
230000,1,1,2,26,-2,-2,416,566,0,416,982,491.0,150,0.0,0.7336860670194003,0.3668430335097001,0.0,0.7336860670194003,416,0,0,-2
50000,1,2,2,35,0,0,9812,9076,2000,1000,18888,9444.0,-736,0.2038112707632732,0.1101685578935771,0.1569899143284251,0.1101685578935771,0.2038112707632732,-1000,0,0,0
80000,1,3,1,38,0,0,20767,18587,0,2500,39354,19677.0,-2180,0.0,0.1344953733591564,0.0672476866795782,0.0,0.1344953733591564,2500,0,0,0
80000,1,1,2,26,0,0,0,20000,0,0,20000,10000.0,20000,0.0,0.0,0.0,0.0,0.0,0,0,0,0
30000,1,1,1,38,0,0,28652,29078,0,574,57730,28865.0,426,0.0,0.0197393307885415,0.0098696653942707,0.0,0.0197393307885415,574,0,0,0
280000,1,1,2,30,-1,-1,380,380,380,380,760,380.0,0,0.9973753280839897,0.9973753280839897,0.9973753280839897,0.9973753280839897,0.9973753280839897,0,0,0,-1
